G_clade	GB1
G_clade	GB2
G_clade	GB3
G_clade	GB4
G_clade	GB5
G_clade	GB5.0.0
G_clade	GB5.0.1
G_clade	GB5.0.2
G_clade	GB5.0.3
G_clade	GB5.0.4a
G_clade	GB5.0.5a
G_clade	GB5.0.4b
G_clade	GB5.0.4c
G_clade	GB7
G_clade	GB6

clade_membership	B1
clade_membership	B2
clade_membership	B3
clade_membership	B4
clade_membership	B5
clade_membership	B6

pango	B.1
pango	B.1.1
pango	B.2
pango	B.2.1
pango	B.2.1.1
pango	B.2.2
pango	B.2.3
pango	B.2.4
pango	B.2.5
pango	B.2.6
pango	B.2.7
pango	B.2.8
pango	B.2.9
pango	B.2.9.1
pango	B.2.9.2
pango	B.2.9.3
pango	B.2.9.4
pango	B.2.9.5
pango	B.2.9.6
pango	B.2.9.7
pango	B.2.9.8
pango	B.2.9.9
pango	B.2.9.10
pango	B.2.9.10.1 (B.A)
pango	B.2.9.10.2 (B.B)
pango	B.2.9.10.3 (B.C)
pango	B.2.9.10.4 (B.D)
pango	B.2.9.10.5 (B.E)
pango	B.2.9.10.6 (B.F)
pango	B.2.9.10.7 (B.G)
pango	B.G.1
pango	B.G.2
pango	B.G.3
pango	B.G.4
pango	B.G.5
pango	B.G.6
pango	not assigned
